Company Name,Sales Growth,ROA,Total Accruals,Operating Cash Flow,CAPEX,R&D,Leverage Ratio,Working Capital Ratio,ForeignOp,ETR,Market-to-Book,Log(Total Assets),Big N,year,Bog Index,Tax Effectiveness,Accounting Analytics Mention,Fama-French industry code (5 industries),nyyear,NYWorking Capital Ratio,NYLeverage Ratio,NYROA,NYBig N,NYCAPEX,NYR&D,NYForeignOp,NYSales Growth,NYMarket-to-Book,NYETR,NYBog Index,NYAccounting Analytics Mention,Log(Total Assets),NYTax Effectiveness,NYTotal Accruals,NYOperating Cash Flow
THE SHYFT GROUP INC,0.154,0.042,0.020,0.023,0.025,0.021,0.072,1.776,0.000,0.131,1.368,5.869,0.000,2018.000,92.000,0.258,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.600,0.257,-0.028,0.000,0.022,0.011,0.000,-0.073,3.709,0.220,91.000,0.000,6.110,0.434,-0.104,0.076
SPARTON CORP,0.097,-0.156,-0.351,0.196,0.025,0.010,0.396,2.092,1.000,0.310,2.726,5.505,0.000,2016.000,99.000,0.360,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,2.036,0.344,0.006,0.000,0.032,0.008,1.000,-0.052,2.649,0.594,98.000,0.000,5.381,0.315,-0.139,0.145
SPARTON CORP,-0.052,0.006,-0.139,0.145,0.032,0.008,0.344,2.036,1.000,0.594,2.649,5.381,0.000,2017.000,98.000,0.315,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,2.122,0.364,-0.036,0.000,0.018,0.012,1.000,-0.057,2.537,1.000,103.000,0.000,5.447,0.251,-0.018,-0.018
STAAR SURGICAL CO,0.069,-0.185,-0.201,0.016,0.049,0.260,0.020,2.369,1.000,0.025,11.659,4.181,0.000,2016.000,94.000,0.288,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,2.823,0.008,-0.031,0.000,0.015,0.260,1.000,0.099,14.939,0.068,93.000,0.000,4.219,0.353,-0.073,0.042
STAAR SURGICAL CO,0.099,-0.031,-0.073,0.042,0.015,0.260,0.008,2.823,1.000,0.068,14.939,4.219,0.000,2017.000,93.000,0.353,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,5.466,0.003,0.030,0.000,0.013,0.132,1.000,0.368,10.649,0.252,95.000,0.000,5.120,0.382,-0.047,0.076
STAAR SURGICAL CO,0.368,0.030,-0.047,0.076,0.013,0.132,0.003,5.466,1.000,0.252,10.649,5.120,0.000,2018.000,95.000,0.382,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,5.066,0.022,0.068,0.000,0.049,0.122,1.000,0.212,9.860,-0.078,95.000,0.000,5.332,0.494,-0.057,0.125
STANDARD MOTOR PRODS,0.089,0.079,-0.049,0.127,0.027,0.000,0.000,1.814,1.000,0.367,2.756,6.645,1.000,2016.000,88.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,1.735,0.000,0.048,1.000,0.031,0.000,0.000,0.054,2.229,0.548,89.000,0.000,6.669,1.000,-0.034,0.082
STANDARD MOTOR PRODS,0.054,0.048,-0.034,0.082,0.031,0.000,0.000,1.735,0.000,0.548,2.229,6.669,1.000,2017.000,89.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,1.747,0.000,0.051,1.000,0.024,0.000,0.000,-0.022,2.325,0.260,80.000,0.000,6.737,1.000,-0.032,0.083
STANDARD MOTOR PRODS,-0.022,0.051,-0.032,0.083,0.024,0.000,0.000,1.747,0.000,0.260,2.325,6.737,1.000,2018.000,80.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,1.775,0.031,0.063,1.000,0.018,0.000,0.000,0.042,2.370,0.248,92.000,0.000,6.816,1.000,-0.021,0.084
STANDEX INTERNATIONAL CORP,-0.027,0.075,-0.041,0.116,0.026,0.007,0.133,2.653,1.000,0.238,2.831,6.537,0.000,2016.000,79.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.256,0.221,0.054,0.000,0.030,0.006,1.000,0.005,2.810,0.248,80.000,0.000,6.766,0.961,-0.019,0.073
STANDEX INTERNATIONAL CORP,0.005,0.054,-0.019,0.073,0.030,0.006,0.221,2.256,1.000,0.248,2.810,6.766,0.000,2017.000,80.000,0.961,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.380,0.211,0.040,0.000,0.029,0.007,1.000,0.150,2.881,0.526,91.000,0.000,6.821,0.961,-0.031,0.071
STANDEX INTERNATIONAL CORP,0.150,0.040,-0.031,0.071,0.029,0.007,0.211,2.380,1.000,0.526,2.881,6.821,0.000,2018.000,91.000,0.961,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.358,0.214,0.074,0.000,0.037,0.007,1.000,-0.088,1.943,0.281,92.000,0.000,6.826,0.935,-0.006,0.080
STANLEY BLACK & DECKER INC,0.021,0.062,-0.033,0.095,0.022,0.013,0.244,1.706,1.000,0.213,2.748,9.657,1.000,2016.000,88.000,0.663,1.000,"Manufacturing, Energy, and Utilities",2017.000,1.047,0.149,0.064,1.000,0.023,0.013,1.000,0.117,3.463,0.197,89.000,1.000,9.856,0.819,-0.010,0.074
STANLEY BLACK & DECKER INC,0.117,0.064,-0.010,0.074,0.023,0.013,0.149,1.047,1.000,0.197,3.463,9.856,1.000,2017.000,89.000,0.819,1.000,"Manufacturing, Energy, and Utilities",2018.000,1.142,0.197,0.031,1.000,0.025,0.014,1.000,0.097,2.557,0.407,94.000,1.000,9.873,0.832,-0.034,0.065
STANLEY BLACK & DECKER INC,0.097,0.031,-0.034,0.065,0.025,0.014,0.197,1.142,1.000,0.407,2.557,9.873,1.000,2018.000,94.000,0.832,1.000,"Manufacturing, Energy, and Utilities",2019.000,1.012,0.173,0.046,1.000,0.021,0.012,1.000,0.033,3.332,0.144,94.000,1.000,9.933,0.729,-0.027,0.073
STARRETT (L.S.) CO  -CL A,-0.132,-0.070,-0.141,0.071,0.037,0.009,0.085,5.542,1.000,0.307,0.914,5.306,0.000,2016.000,79.000,0.151,0.000,"Manufacturing, Energy, and Utilities",2017.000,3.583,0.032,0.005,0.000,0.024,0.010,1.000,-0.013,0.657,0.356,79.000,0.000,5.261,0.148,-0.010,0.015
STARRETT (L.S.) CO  -CL A,-0.013,0.005,-0.010,0.015,0.024,0.010,0.032,3.583,1.000,0.356,0.657,5.261,0.000,2017.000,79.000,0.148,0.000,"Manufacturing, Energy, and Utilities",2018.000,4.324,0.095,-0.020,0.000,0.024,0.020,1.000,0.045,0.512,1.000,87.000,0.000,5.206,0.151,-0.042,0.022
STARRETT (L.S.) CO  -CL A,0.045,-0.020,-0.042,0.022,0.024,0.020,0.095,4.324,1.000,1.000,0.512,5.206,0.000,2018.000,87.000,0.151,0.000,"Manufacturing, Energy, and Utilities",2019.000,3.671,0.092,0.032,0.000,0.030,0.019,1.000,0.054,0.548,0.367,88.000,0.000,5.247,0.163,-0.012,0.044
STEPAN CO,-0.004,0.064,-0.093,0.157,0.076,0.026,0.213,2.306,1.000,0.243,2.879,7.211,1.000,2016.000,79.000,0.702,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.463,0.182,0.062,1.000,0.053,0.023,1.000,0.088,2.402,0.343,82.000,0.000,7.294,0.728,-0.073,0.135
STEPAN CO,0.088,0.062,-0.073,0.135,0.053,0.023,0.182,2.463,1.000,0.343,2.402,7.294,1.000,2017.000,82.000,0.728,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.370,0.161,0.076,1.000,0.058,0.023,1.000,0.036,2.125,0.194,87.000,0.000,7.303,1.000,-0.039,0.115
STEPAN CO,0.036,0.076,-0.039,0.115,0.058,0.023,0.161,2.370,1.000,0.194,2.125,7.303,1.000,2018.000,87.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.414,0.144,0.065,1.000,0.067,0.022,1.000,-0.068,2.586,0.181,87.000,0.000,7.365,1.000,-0.073,0.138
STRYKER CORP,0.139,0.081,-0.008,0.089,0.024,0.035,0.327,2.497,1.000,0.143,4.705,9.925,1.000,2016.000,88.000,0.713,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,2.294,0.297,0.046,1.000,0.027,0.035,1.000,0.099,5.817,0.506,89.000,0.000,10.008,0.763,-0.024,0.070
STRYKER CORP,0.099,0.046,-0.024,0.070,0.027,0.035,0.297,2.294,1.000,0.506,5.817,10.008,1.000,2017.000,89.000,0.763,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,2.025,0.312,0.130,1.000,0.021,0.032,1.000,0.093,5.003,-0.508,95.000,0.000,10.212,0.776,0.035,0.096
STRYKER CORP,0.093,0.130,0.035,0.096,0.021,0.032,0.312,2.025,1.000,-0.508,5.003,10.212,1.000,2018.000,95.000,0.776,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,2.582,0.349,0.069,1.000,0.022,0.032,1.000,0.094,6.139,0.187,95.000,0.000,10.315,0.820,-0.004,0.073
STURM RUGER & CO INC,0.205,0.208,-0.049,0.262,0.099,0.024,0.000,2.764,0.000,0.356,3.704,5.873,0.000,2016.000,75.000,0.987,0.000,"Manufacturing, Energy, and Utilities",2017.000,3.166,0.000,0.183,0.000,0.118,0.034,0.000,-0.214,4.229,0.328,75.000,0.000,5.650,1.000,-0.173,0.262
STURM RUGER & CO INC,-0.214,0.183,-0.173,0.262,0.118,0.034,0.000,3.166,0.000,0.328,4.229,5.650,0.000,2017.000,75.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,3.261,0.000,0.152,0.000,0.031,0.025,0.000,-0.050,3.516,0.259,72.000,0.000,5.816,1.000,-0.205,0.262
STURM RUGER & CO INC,-0.050,0.152,-0.205,0.262,0.031,0.025,0.000,3.261,0.000,0.259,3.516,5.816,0.000,2018.000,72.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2019.000,4.071,0.006,0.093,0.000,0.058,0.023,0.000,-0.172,2.875,0.250,82.000,0.000,5.855,1.000,-0.050,0.142
SUPERIOR INDUSTRIES INTL,0.006,0.076,-0.068,0.145,0.073,0.007,0.000,2.956,1.000,0.244,1.664,6.297,1.000,2016.000,82.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.140,0.438,-0.004,1.000,0.046,0.005,1.000,0.512,0.940,1.000,82.000,0.000,7.347,1.000,-0.045,0.041
SUPERIOR INDUSTRIES INTL,0.512,-0.004,-0.045,0.041,0.046,0.005,0.438,2.140,1.000,1.000,0.940,7.347,1.000,2017.000,82.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.076,0.456,0.017,1.000,0.054,0.004,1.000,0.355,0.446,0.195,80.000,0.000,7.280,1.000,-0.091,0.108
SUPERIOR INDUSTRIES INTL,0.355,0.017,-0.091,0.108,0.054,0.004,0.456,2.076,1.000,0.195,0.446,7.280,1.000,2018.000,80.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.853,0.476,-0.074,1.000,0.049,0.000,1.000,-0.086,0.446,-0.037,95.000,0.000,7.179,1.000,-0.198,0.124
SUPERIOR GROUP OF COS INC,0.201,0.074,0.013,0.061,0.038,0.000,0.184,3.918,0.000,0.264,2.576,5.282,0.000,2016.000,84.000,0.504,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,3.312,0.150,0.069,0.000,0.019,0.000,0.000,0.056,3.224,0.394,85.000,0.000,5.389,0.624,-0.035,0.104
SUPERIOR GROUP OF COS INC,0.056,0.069,-0.035,0.104,0.019,0.000,0.150,3.312,0.000,0.394,3.224,5.389,0.000,2017.000,85.000,0.624,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,4.251,0.333,0.051,0.000,0.015,0.000,0.000,0.298,1.778,0.207,91.000,0.000,5.814,0.665,-0.009,0.059
SUPERIOR GROUP OF COS INC,0.298,0.051,-0.009,0.059,0.015,0.000,0.333,4.251,0.000,0.207,1.778,5.814,0.000,2018.000,91.000,0.665,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,3.053,0.296,0.034,0.000,0.027,0.000,0.000,0.088,1.309,0.211,92.000,0.000,5.883,0.626,-0.022,0.056
SILVERBOW RESOURCES INC,-0.332,0.208,0.125,0.016,0.175,0.000,0.525,0.448,0.000,0.000,4.455,5.933,0.000,2016.000,81.000,0.089,0.000,"Manufacturing, Energy, and Utilities",2017.000,0.564,0.481,0.131,0.000,0.175,0.000,0.000,0.192,1.778,-0.028,86.000,0.000,6.312,0.091,-0.065,0.196
SYNALLOY CORP,-0.210,-0.051,-0.062,0.011,0.022,0.004,0.064,2.975,0.000,0.239,1.071,4.932,1.000,2016.000,85.000,0.595,0.000,"Manufacturing, Energy, and Utilities",2017.000,3.237,0.163,0.008,1.000,0.033,0.003,0.000,0.452,1.305,0.093,83.000,0.000,5.074,0.566,-0.006,0.014
SYNALLOY CORP,0.452,0.008,-0.006,0.014,0.033,0.003,0.163,3.237,0.000,0.093,1.305,5.074,1.000,2017.000,83.000,0.566,0.000,"Manufacturing, Energy, and Utilities",2018.000,4.497,0.337,0.057,1.000,0.032,0.002,0.000,0.396,1.437,0.205,90.000,0.000,5.431,0.590,0.125,-0.093
SYNALLOY CORP,0.396,0.057,0.125,-0.093,0.032,0.002,0.337,4.497,0.000,0.205,1.437,5.431,1.000,2018.000,90.000,0.590,0.000,"Manufacturing, Energy, and Utilities",2019.000,3.625,0.411,-0.012,1.000,0.018,0.002,0.000,0.087,1.096,0.193,91.000,0.000,5.550,0.409,-0.123,0.111
SYSCO CORP,0.035,0.057,-0.059,0.116,0.032,0.000,0.439,2.267,1.000,0.337,8.160,9.724,1.000,2016.000,86.000,0.804,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.318,0.431,0.064,1.000,0.039,0.000,1.000,0.099,11.202,0.353,87.000,0.000,9.785,0.839,-0.058,0.123
SYSCO CORP,0.099,0.064,-0.058,0.123,0.039,0.000,0.431,1.318,1.000,0.353,11.202,9.785,1.000,2017.000,87.000,0.839,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.215,0.417,0.079,1.000,0.038,0.000,1.000,0.061,14.182,0.269,94.000,0.000,9.802,0.855,-0.040,0.119
SYSCO CORP,0.061,0.079,-0.040,0.119,0.038,0.000,0.417,1.215,1.000,0.269,14.182,9.802,1.000,2018.000,94.000,0.855,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.334,0.452,0.093,1.000,0.039,0.000,1.000,0.024,14.493,0.165,121.000,0.000,9.796,0.878,-0.041,0.134
TSR INC,0.063,0.028,-0.059,0.087,0.001,0.000,0.000,3.033,0.000,0.460,0.790,2.645,0.000,2016.000,80.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,2.135,0.000,0.018,0.000,0.001,0.000,0.000,0.026,1.864,0.456,80.000,0.000,2.677,1.000,-0.033,0.052
TSR INC,0.026,0.018,-0.033,0.052,0.001,0.000,0.000,2.135,0.000,0.456,1.864,2.677,0.000,2017.000,80.000,1.000,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,2.590,0.000,0.036,0.000,0.002,0.000,0.000,0.039,1.229,0.407,71.000,0.000,2.593,1.000,-0.048,0.085
TAYLOR DEVICES INC,0.166,0.112,0.011,0.101,0.052,0.011,0.000,4.155,0.000,0.270,1.887,3.624,0.000,2016.000,71.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2017.000,5.966,0.000,0.063,0.000,0.050,0.024,0.000,-0.284,1.388,0.220,69.000,0.000,3.615,1.000,0.091,-0.028
TAYLOR DEVICES INC,-0.284,0.063,0.091,-0.028,0.050,0.024,0.000,5.966,0.000,0.220,1.388,3.615,0.000,2017.000,69.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,4.795,0.000,0.011,0.000,0.024,0.007,0.000,-0.046,1.058,0.345,68.000,0.000,3.677,1.000,0.004,0.008
TECHNICAL COMMUNICATIONS CP,-0.124,-0.361,-0.368,0.093,0.011,0.127,0.000,1.578,0.000,0.000,5.491,1.411,0.000,2018.000,78.000,0.162,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,4.126,0.000,0.208,0.000,0.005,0.114,0.000,0.719,2.084,0.000,81.000,0.000,1.071,1.000,0.125,-0.128
SUNLINK HEALTH SYSTEMS INC,-0.309,-0.314,-0.305,-0.010,0.030,0.000,0.071,0.869,0.000,-0.620,0.446,3.803,0.000,2016.000,96.000,0.432,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.837,0.000,0.076,0.000,0.046,0.000,0.000,-0.160,0.701,0.207,90.000,0.000,3.565,0.366,0.125,-0.159
SUNLINK HEALTH SYSTEMS INC,-0.160,0.076,0.125,-0.159,0.046,0.000,0.000,1.837,0.000,0.207,0.701,3.565,0.000,2017.000,90.000,0.366,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,2.703,0.107,-0.061,0.000,0.071,0.000,0.000,-0.008,0.551,0.233,89.000,0.000,3.265,1.000,-0.076,0.015
SUNLINK HEALTH SYSTEMS INC,-0.008,-0.061,-0.076,0.015,0.071,0.000,0.107,2.703,0.000,0.233,0.551,3.265,0.000,2018.000,89.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.981,0.005,-0.072,0.000,0.052,0.000,0.000,-0.137,0.683,0.039,102.000,0.000,3.195,0.335,-0.013,-0.058
TEJON RANCH CO,-0.109,0.001,-0.011,0.013,0.060,0.000,0.159,2.366,0.000,0.395,1.730,6.086,1.000,2016.000,84.000,0.299,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,9.917,0.127,-0.003,1.000,0.042,0.000,0.000,-0.218,1.350,0.416,85.000,0.000,6.250,0.507,-0.022,0.019
TEJON RANCH CO,-0.218,-0.003,-0.022,0.019,0.042,0.000,0.127,9.917,0.000,0.416,1.350,6.250,1.000,2017.000,85.000,0.507,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,5.851,0.117,0.008,1.000,0.043,0.000,0.000,0.279,1.027,0.238,91.000,0.000,6.271,0.567,-0.019,0.027
TEJON RANCH CO,0.279,0.008,-0.019,0.027,0.043,0.000,0.117,5.851,0.000,0.238,1.027,6.271,1.000,2018.000,91.000,0.567,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,5.430,0.107,0.020,1.000,0.047,0.000,0.000,0.086,0.969,0.273,91.000,0.000,6.290,0.800,-0.010,0.030
ALLEGHENY TECHNOLOGIES INC,-0.157,-0.124,-0.116,-0.008,0.039,0.003,0.343,2.493,1.000,0.146,1.280,8.551,1.000,2016.000,94.000,0.167,0.000,"Manufacturing, Energy, and Utilities",2017.000,2.688,0.295,-0.018,1.000,0.024,0.003,1.000,0.125,1.747,0.079,95.000,0.000,8.554,0.173,-0.022,0.004
ALLEGHENY TECHNOLOGIES INC,0.125,-0.018,-0.022,0.004,0.024,0.003,0.295,2.688,1.000,0.079,1.747,8.554,1.000,2017.000,95.000,0.173,0.000,"Manufacturing, Energy, and Utilities",2018.000,2.685,0.279,0.040,1.000,0.025,0.004,1.000,0.148,1.451,0.044,99.000,0.000,8.613,0.047,-0.031,0.071
ALLEGHENY TECHNOLOGIES INC,0.148,0.040,-0.031,0.071,0.025,0.004,0.279,2.685,1.000,0.044,1.451,8.613,1.000,2018.000,99.000,0.047,0.000,"Manufacturing, Energy, and Utilities",2019.000,2.712,0.246,0.046,1.000,0.030,0.003,1.000,0.019,1.246,-0.118,97.000,0.000,8.637,0.190,0.005,0.041
TELEFLEX INC,0.032,0.061,-0.044,0.105,0.014,0.026,0.219,2.767,1.000,0.033,3.323,8.266,1.000,2016.000,99.000,0.545,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,2.333,0.350,0.025,1.000,0.011,0.014,1.000,0.149,4.624,0.455,101.000,0.000,8.729,0.684,-0.043,0.068
TELEFLEX INC,0.149,0.025,-0.043,0.068,0.011,0.014,0.350,2.333,1.000,0.455,4.624,8.729,1.000,2017.000,101.000,0.684,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,2.122,0.330,0.032,1.000,0.013,0.017,1.000,0.141,4.683,0.106,104.000,0.000,8.745,0.681,-0.038,0.070
TELEFLEX INC,0.141,0.032,-0.038,0.070,0.013,0.017,0.330,2.122,1.000,0.106,4.683,8.745,1.000,2018.000,104.000,0.681,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,2.320,0.311,0.073,1.000,0.016,0.018,1.000,0.060,5.857,-0.359,102.000,0.000,8.750,0.704,0.003,0.070
TELEPHONE & DATA SYSTEMS INC,-0.016,0.005,-0.078,0.083,0.067,0.000,0.258,2.321,0.000,0.435,0.766,9.153,1.000,2016.000,103.000,0.504,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,2.142,0.262,0.016,1.000,0.074,0.000,0.000,-0.011,0.723,1.000,103.000,0.000,9.137,0.482,-0.067,0.083
TELEPHONE & DATA SYSTEMS INC,-0.011,0.016,-0.067,0.083,0.074,0.000,0.262,2.142,0.000,1.000,0.723,9.137,1.000,2017.000,103.000,0.482,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,2.651,0.247,0.014,1.000,0.079,0.000,0.000,0.013,0.813,0.208,109.000,0.000,9.188,0.482,-0.090,0.104
TELEPHONE & DATA SYSTEMS INC,0.013,0.014,-0.090,0.104,0.079,0.000,0.247,2.651,0.000,0.208,0.813,9.188,1.000,2018.000,109.000,0.482,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,1.997,0.301,0.011,1.000,0.089,0.000,0.000,0.013,0.629,0.303,109.000,0.000,9.286,0.724,-0.083,0.094
TENNANT CO,-0.004,0.099,-0.024,0.123,0.056,0.074,0.070,2.243,1.000,0.299,4.521,6.153,1.000,2016.000,82.000,0.879,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.789,0.348,-0.006,1.000,0.021,0.032,1.000,0.241,4.381,-1.000,85.000,0.000,6.902,0.711,-0.061,0.055
TENNANT CO,0.241,-0.006,-0.061,0.055,0.021,0.032,0.348,1.789,1.000,-1.000,4.381,6.902,1.000,2017.000,85.000,0.711,0.000,"Manufacturing, Energy, and Utilities",2018.000,1.883,0.331,0.034,1.000,0.019,0.031,1.000,0.120,3.004,0.064,87.000,0.000,6.900,0.667,-0.047,0.081
TENNANT CO,0.120,0.034,-0.047,0.081,0.019,0.031,0.331,1.883,1.000,0.064,3.004,6.900,1.000,2018.000,87.000,0.667,0.000,"Manufacturing, Energy, and Utilities",2019.000,1.750,0.318,0.043,1.000,0.036,0.031,1.000,0.013,3.970,0.150,84.000,0.000,6.969,0.560,-0.025,0.068
TENNECO INC,0.048,0.082,-0.031,0.113,0.075,0.035,0.298,1.319,1.000,0.000,5.913,8.377,1.000,2016.000,88.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,1.235,0.280,0.043,1.000,0.081,0.033,1.000,0.078,4.327,0.203,86.000,0.000,8.485,1.000,-0.087,0.130
TENNECO INC,0.078,0.043,-0.087,0.130,0.081,0.033,0.280,1.235,1.000,0.203,4.327,8.485,1.000,2017.000,86.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018.000,1.414,0.404,0.004,1.000,0.038,0.015,1.000,0.268,1.283,0.362,95.000,0.000,9.490,1.000,-0.029,0.033
TENNECO INC,0.268,0.004,-0.029,0.033,0.038,0.015,0.404,1.414,1.000,0.362,1.283,9.490,1.000,2018.000,95.000,1.000,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2019.000,1.334,0.424,-0.025,1.000,0.056,0.024,1.000,0.483,0.744,-0.095,95.000,1.000,9.490,0.490,-0.059,0.034
TERADYNE INC,0.069,-0.016,-0.177,0.161,0.031,0.105,0.128,4.357,1.000,0.211,2.767,7.924,1.000,2016.000,85.000,0.593,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,4.997,0.118,0.083,1.000,0.034,0.098,1.000,0.219,4.191,0.509,85.000,0.000,8.042,0.674,-0.119,0.201
TERADYNE INC,0.219,0.083,-0.119,0.201,0.034,0.098,0.118,4.997,1.000,0.509,4.191,8.042,1.000,2017.000,85.000,0.674,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,3.637,0.140,0.167,1.000,0.042,0.111,1.000,-0.017,3.618,0.034,82.000,0.000,7.903,0.712,-0.009,0.176
TERADYNE INC,-0.017,0.167,-0.009,0.176,0.042,0.111,0.140,3.637,1.000,0.034,3.618,7.903,1.000,2018.000,82.000,0.712,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,3.078,0.158,0.168,1.000,0.048,0.116,1.000,0.092,7.666,0.111,88.000,0.000,7.933,0.812,-0.040,0.208
ANDEAVOR,-0.148,0.036,-0.028,0.064,0.044,0.000,0.317,2.086,0.000,0.334,1.871,9.923,1.000,2016.000,92.000,0.957,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.376,0.268,0.053,1.000,0.047,0.000,0.000,0.425,1.786,-0.502,92.000,0.000,10.260,0.979,-0.004,0.057
TEXAS INSTRUMENTS INC,0.028,0.208,-0.062,0.262,0.032,0.083,0.181,3.294,1.000,0.271,6.939,9.707,1.000,2016.000,83.000,0.953,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,3.868,0.203,0.208,1.000,0.039,0.085,1.000,0.119,9.933,0.394,81.000,0.000,9.778,0.982,-0.095,0.262
TEXAS INSTRUMENTS INC,0.119,0.208,-0.095,0.262,0.039,0.085,0.203,3.868,1.000,0.394,9.933,9.778,1.000,2017.000,81.000,0.982,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,3.273,0.252,0.208,1.000,0.066,0.091,1.000,0.055,9.931,0.165,87.000,0.000,9.749,0.968,-0.094,0.262
TEXAS INSTRUMENTS INC,0.055,0.208,-0.094,0.262,0.066,0.091,0.252,3.273,1.000,0.165,9.931,9.749,1.000,2018.000,87.000,0.968,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,4.127,0.309,0.208,1.000,0.047,0.086,1.000,-0.089,13.424,0.124,88.000,0.000,9.799,0.990,-0.091,0.262
THERMO FISHER SCIENTIFIC INC,0.077,0.044,-0.025,0.069,0.010,0.016,0.335,1.443,1.000,-0.001,2.577,10.734,1.000,2016.000,92.000,0.698,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,1.337,0.333,0.039,1.000,0.009,0.016,1.000,0.145,2.999,0.083,93.000,0.000,10.945,0.723,-0.031,0.071
THERMO FISHER SCIENTIFIC INC,0.145,0.039,-0.031,0.071,0.009,0.016,0.333,1.337,1.000,0.083,2.999,10.945,1.000,2017.000,93.000,0.723,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,1.728,0.315,0.052,1.000,0.013,0.017,1.000,0.164,3.262,0.099,97.000,0.000,10.937,0.700,-0.029,0.081
THERMO FISHER SCIENTIFIC INC,0.164,0.052,-0.029,0.081,0.013,0.017,0.315,1.728,1.000,0.099,3.262,10.937,1.000,2018.000,97.000,0.700,0.000,"Business Equipment, Telephone and Television Transmission",2019.000,1.919,0.302,0.063,1.000,0.016,0.017,1.000,0.049,4.365,0.092,97.000,0.000,10.975,0.712,-0.022,0.085
